#Año  inicial y final
1967	2025																																					
					
#Numero de edades  edad_reclutas																									
10	3																																										
#Año	Y_T	cv_T	Y_B	cv_B	CPUE_T	cv_I_T	CPUE_B	cv_I_B	nm_T	nm_B
2009	2406	0.05	845	0.05	0	0.15	0	0.15	0	0
2010	3047	0.05	1071	0.05	8.32	0.15	9.89	0.15	0	0
2011	3192	0.05	1121	0.05	7.24	0.15	10.9	0.15	0	0
2012	3938	0.05	1384	0.05	8.88	0.15	14.7	0.15	0	0
2013	3679	0.05	1293	0.05	7.61	0.15	9.04	0.15	0	0
2014	3331	0.05	1171	0.05	9.04	0.15	14.7	0.15	10	50
2015	4555	0.05	1601	0.05	13.9	0.15	14.2	0.15	10	50
2016	3493	0.05	1227	0.05	10.2	0.15	12	0.15	10	50
2017	2593	0.05	911	0.05	11.7	0.15	12	0.15	10	50
2018	3013	0.05	1059	0.05	10.8	0.15	12	0.15	10	50
2019	2767	0.05	972	0.05	7.78	0.15	8.51	0.15	10	50
2020	2413	0.05	848	0.05	8.26	0.15	10.1	0.15	10	50
2021	2406	0.05	846	0.05	7.39	0.15	9.98	0.15	10	50
2022	2022	0.05	711	0.05	12.8	0.15	10.6	0.15	10	50
2023	2533	0.05	890	0.05	10.5	0.15	10.2	0.15	10	50
2024	3082	0.05	1083	0.05	12.6	0.15	11.3	0.15	10	50
2025	3057	0.05	1074	0.05	9.7	0.15	11.12	0.15	10	50
																																											
#Num intervalos de tallas																				
31																				
																				
#Intervalos de talla																				
13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5
																			
																				
#Numero de años con composiciones de tallas (Capturas) FLOTA 1 TRAMPAS																				
11																				
#ID de los años con comps de tallas FLOTA 1 (trampas)																				
2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024										
																				
#	Frecuencia	de	tallas	de	las	capturas														
159004	322977	540332	565402	527852	502139	382153	284494	323893	335979	111429	123182	97765	53858	47469	41735	29986	20982	25262	2114	2842	2142	2273	2505	1015	0	0	0	0	0	0
247572	502882	944925	1052030	1090990	1286158	895309	667612	616578	449904	108254	110005	77855	46541	41794	36746	19235	12178	15051	3779	5080	3829	4063	4477	1814	0	0	0	0	0	0
292772	594695	952113	966926	851261	772616	551451	437383	427249	314942	74814	77240	55959	39644	36811	32365	15986	9887	12086	2192	2946	2221	2357	2597	1052	0	0	0	0	0	0
219599	446061	746246	780871	729012	693498	527788	392912	447326	464017	153894	170125	135022	74383	65558	57640	41413	28978	34890	2920	3925	2958	3139	3459	1402	0	0	0	0	0	0
395559	803481	974108	954234	825369	722361	519275	215541	284838	400682	87317	81854	50618	29972	26859	23615	7875	3885	5209	3885	5222	3936	4177	4603	1865	0	0	0	0	0	0
340769	692189	800242	783994	687753	526876	375140	224923	314560	353677	82684	89586	69322	37913	33356	29328	12864	7534	9517	3692	4963	3741	3970	4374	1772	0	0	0	0	0	0
503069	528040	449251	602302	469153	516070	291739	372349	283754	159316	86559	98529	58466	26476	22277	18577	0	0	3762	4929	5610	6194	2910	3834	3869	0	0	0	0	0	0
194031	295628	461093	615947	531212	479157	299279	393953	246901	196382	90107	89054	69594	60835	35504	47707	6713	6264	5215	2219	2253	3254	1835	2589	1762	0	0	0	0	0	0
398930	742515	779266	742158	824137	654467	310571	256406	240448	182106	108351	106357	114247	79526	105077	63298	36366	19919	19976	3209	3008	1993	2184	1174	2074	0	0	0	0	0	0
476540	574998	563395	464890	600789	507725	270273	398644	221221	190742	114077	92136	83156	34297	38213	42196	22295	23182	12288	3505	2737	2740	2092	2877	1141	0	0	0	0	0	0
785006	853060	785066	687167	832027	740193	362744	328394	265641	142787	83367	71986	71047	21915	25434	24916	7625	5474	5413	1615	865	812	1399	837	282	0	0	0	0	0	0
																				
																				
#Numero de años con composiciones de tallas (Capturas) FLOTA 2 LLS																				
11																				
#ID de los años con comps de tallas FLOTA 2																				
2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024										
#	Frecuencia	de	tallas	de	las	capturas														
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
5	58	110	238	365	448	530	530	530	500	470	450	430	428	425	410	395	353	310	263	215	183	150	123	95	68	40	28	15	10	5
																																												
#	CONTROLES_DEL_MODELO 																												
#_________________________________________________________________________________																													
#sigmaR
0.4

#dt_desove  dt_CPUE_F1  dt_CPUE_F2
0.75	    0.5	         0.5

# Parámetros Biológicos Fijos
#________________________________________________________________________________
#L50ms   L95ms   log_aw   b
14.0    16.2     -4.29     3.065


# Parámetros Biológicos Estimables
#________________________________________________________________________________
#Loo,   k,   Lo(mm)     a0     sd_a       M         h        R0
27.6	0.24	15.2	0	0.06	  0.36	    0.75     200
0.1     0.1      0.1    0.3     0.05      0.1       0.3     10.2
-5      -4        3     -3       -3        -5       -5       1  


#	Parámetros_de_Selectividad																			
#____________________________________________________																													
#L50,   s1	y s2  trampas																		
16       2        5
0.1      0.3        0.3
3         3         3

#L50,   s1	y s2  Buceo																		
18       3         10
0.2     0.3        0.5
3        3          3

#___BLOQUES SELECTIVIDAD___________________________________________																													
#	Número_de_bloques_de_selectividad_y_años_de_inicio_TRAMPAS																												

2
1967 2016



#_________________________________________________________________																													
#	Número_de_bloques_de_selectividad_y_años_de_inicio_BUCEO																												
1
1967



#______BLOQUES CAPTURABILIDAD________________________________																													
#	Número_de_bloques_de_capturabilidad_y_años_de_inicio_CPUE TRAMPAS																												
1 
1967
4  

#	Número_de_bloques_de_capturabilidad_y_años_de_inicio_CPUE BUCEO																												
1
1967
4  



#_________________________________________________________________																													
#	FASES_DE_ESTIMACION_DE_PARAMETROS																												

# Mortalidad_por_pesca F1 F2
2	2
																												
#	desvios del reclutamiento anual_Rt																												
4

#	PROYECCION_DE_LA_POBLACION																												
#____________________________________________________																													
#numero_casos_de_F
5																											

#%B0 pivote de referencia (si es 0, entonces la estrategia es F cte)
0

# Valores de escenarios de mF
1E-10  0.2  0.4   0.6   0.8

#	Años_a_proyectar																												
10																									


